Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
5510,Normal/Others,WS/MP319/2024-2025/156472,Lighting of public spaces,Kochadhaman Parkhand Antargart Balia Panchayat ke Shitalnagar Ajit Market Chowk me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5511,Normal/Others,WS/MP319/2024-2025/156473,Lighting of public spaces,Kochadhaman Parkhand Antargart Kochadhaman Panchayat ke Kochadhaman Parkhand Parisar me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5512,Normal/Others,WS/MP370/2024-2025/166463,Construction of community centers and community halls,"Completion Of Kalyan Mandap near Shiva Madir Tudalaga, GP Tudalaga",Odisha,Sundaragada,DISTRICT COLLECTOR SUNDARGARH,Shri Jual Oram,SUNDARGARH (ST),True,2025-04-10,600000.0
5513,Normal/Others,WS/MP18100/2024-2025/166952,Construction of buildings for community cultural activities,Constraction Of Kalamanch At Bisapur kala,Madhya Pradesh,CHHINDWARA,DISTRICT COLLECTOR CHHINDWARA,BUNTY VIVEK SAHU,CHHINDWARA,True,2025-12-19,200000.0
5514,Normal/Others,WS/MP18064/2024-2025/154955,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of street from main street to h/o Jaipal Singh s/o Atma Ram,Haryana,KURUKSHETRA,DEPUTY COMMISSIONER KURUKSHETRA,NAVEEN JINDAL,KURUKSHETRA,True,2025-07-14,79228.0
5515,Normal/Others,WS/MP681/2024-2025/134804,Construction of community centers and community halls,Construction of Sabhamandap at Sakhartala Tal. Jintur  Dist. Parbhani (under ST fund),Maharashtra,PARBHANI,DISTRICT COLLECTOR PARBHANI,Sanjay Haribhau Jadhav,PARBHANI,True,2025-04-11,999896.0
5516,Normal/Others,WS/MP743/2025-2026/142100,Construction of bus-sheds or bus-stops,"Construction of Bus Shelter at Kattupakkam Village, Menalur Panchayat Uthiramerur Panchayat Union.",Tamil Nadu,Kancheepuram,DISTRICT COLLECTOR KANCHEEPURAM,Ganesan Selvam,KANCHEEPURAM(SC),True,2025-05-15,631745.0
5517,Normal/Others,WS/MP18107/2024-2025/163606,"Construction of roads, link roads, pathways or any other road with or without drainage system",Distt. Ratlam Block Bajna Gram Panchayat Amarpura Kala me Bedihani Mohalle me Sadak Nirman Kary Rs 300000,Madhya Pradesh,RATLAM,District Collector Ratlam,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),True,2026-03-10,300000.0
5518,Normal/Others,WS/MP18231/2024-2025/165091,Street lights,VIKAS KHAND MORADABAD KE GRAM GODHI CENTRAL BANK KE PASS    SARVJANIK STHAL PR SEMI HIGH MAST LIGHT (6 LIGHT),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5519,Normal/Others,WS/MP18231/2024-2025/165093,Street lights,VIKAS KHND BHAGATPUR TANDA KE GRAM RATANPURA ME PRIMARY SCHOOL KE PASS SARVJANIK STHAL PR SEMI HIGH MAST LIGHT (6 LIGHT WALI  ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-04-02,173600.0
5520,Normal/Others,WS/MP18231/2024-2025/165092,Lighting of public spaces,VIKAS KHAND MORADABAD GRAM BARWALA MAJHRA GOT CHAURAHE PAR SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT (6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5521,Normal/Others,WS/MP18231/2024-2025/165098,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA GRAM LALUWALA MUSTAKAM ME MADARSE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT (6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5522,Normal/Others,WS/MP18231/2024-2025/165097,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA GRAM SIRSWA GAUR ME MANDIR KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT (6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5523,Normal/Others,WS/MP18231/2024-2025/165096,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA  GRAM BILAKUDAN KI MILAK FAKEERO WALE KABRISTAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT (6 LIGHT WALI),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5524,Normal/Others,WS/MP18231/2024-2025/165095,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA BERKHEDA KE MAJHRA ME KABRISTAN KE PASS SARVJANIK SHAL PAR SEMI HIGH MAST LIGHT (6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5525,Normal/Others,WS/MP18231/2024-2025/165102,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA KE GRAM BHAGATPUR ME KABRISTAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5526,Normal/Others,WS/MP18231/2024-2025/165101,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA KE GRAM RAIPUR SAMDA ME YUNUS KE TIRAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5527,Normal/Others,WS/MP18231/2024-2025/165099,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA KE GRAM MILAK GULADIYA ME KABRISTAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT (6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5528,Normal/Others,WS/MP18231/2024-2025/165108,Lighting of public spaces,VIKAS KHAND MORadabad KE GRAM TAJPUR MAFI ME BADE MANDIR KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5529,Normal/Others,WS/MP18231/2024-2025/165106,Lighting of public spaces,VIKAS KHAND MORADABAD KE GRAM THIKRI  KE MAJHRA CHAK BEGAMPUR ME KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5530,Normal/Others,WS/MP18231/2024-2025/165105,Lighting of public spaces,VIKAS KHnd mundapandey ke gram rafatpur me main chaurahe ke pass sarvjanik sthal par SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5531,Normal/Others,WS/MP18231/2024-2025/165104,Lighting of public spaces,VIKAS KHAND MORADABAD KE GRAM BIJNA ME DURGA MANDIR KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5532,Normal/Others,WS/MP18231/2024-2025/165103,Lighting of public spaces,VIKAS KHAND MORADABAD KE GRAM THIKRI ME KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-04-02,173600.0
5533,Normal/Others,WS/MP18231/2024-2025/165110,Lighting of public spaces,VIKAS KHAND THAKURDWARA KE GRAM LODHIPURA PATTI KE MAJHRA KE SAYYADPURA ME AFSAR THEKEDAR KE CHAURAHE PAR  SEMI HIGH MAST LIGHT ( 6 LIGHT WALI 0,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5534,Normal/Others,WS/MP18231/2024-2025/165109,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA KE GRAM KARIYA NAGLA ME CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5535,Normal/Others,WS/MP18231/2024-2025/165114,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM MOOLAWAAN ME KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5536,Normal/Others,WS/MP18231/2024-2025/165113,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM SULTANPUR MUNDA ME KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5537,Normal/Others,WS/MP18231/2024-2025/165111,Lighting of public spaces,VIKAS KHAND THAKURDWARA KE GRAM SYODASPUR ME KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT ( 6 LIGHT WALI ),Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5538,Normal/Others,WS/MP18231/2024-2025/165118,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM SARKADA KHAS ME MADARSE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5539,Normal/Others,WS/MP18231/2024-2025/165116,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM SUMAL KHEDA ME KABRISTAAN KE PASS SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5540,Normal/Others,WS/MP18231/2024-2025/165115,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM NAHTORA ME MADEENA MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5541,Normal/Others,WS/MP18231/2024-2025/165956,Lighting of public spaces,vikas KHAND BHAGATPUR TANDA KE GRAM PIPALGAON ME KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5542,Normal/Others,WS/MP18231/2024-2025/165955,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM UDMAWALA ME MASJID WALE CHAURAHE KE PAss sarvjanik sthal par semi high mast light 6 light wali,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5543,Normal/Others,WS/MP18231/2024-2025/165954,Lighting of public spaces,VIKAS KHAND CHACHHLET KE GRAM SIKANDRABAD ME NAEEMPURA KE CHAURAHE KE PASS SARVJANIK STHAL SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5544,Normal/Others,WS/MP18231/2024-2025/165953,Lighting of public spaces,VIKAS KHAND CHACHHLET KE GRAM GADHI ME EIDGAAH KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5545,Normal/Others,WS/MP18231/2024-2025/165952,Lighting of public spaces,UMRI KALAN ME KURESHIYON WALE KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI N,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-04-02,173600.0
5546,Normal/Others,WS/MP18231/2024-2025/165951,Lighting of public spaces,vikas khand DILARI KE GRAM TUMARIA KALAN ME CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5547,Normal/Others,WS/MP18231/2024-2025/165961,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM SIHALI KHADDAR ME CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5548,Normal/Others,WS/MP18231/2024-2025/165960,Lighting of public spaces,VIKAS KHAND CHAJLET KE GRAM BIBIPUR ME NAI BASTI ME MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5549,Normal/Others,WS/MP18231/2024-2025/165959,Lighting of public spaces,VIKAS KHAND CHHAJLET KE GRAM KAJIKHEDA ME KABRISTAAN KE PAS SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5550,Normal/Others,WS/MP18231/2024-2025/165958,Lighting of public spaces,VIKAS KHAND THAKURDWARA KE GRAM MANPUR DUTTRAM ME CHHOTI MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5551,Normal/Others,WS/MP18231/2024-2025/165957,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA KE GRAM BURHANPUR ME KABRISTAAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5552,Normal/Others,WS/MP18231/2024-2025/165969,Lighting of public spaces,VIKAS KHAND DILARI KE GRAM JATPURA ME IBRAHEEM MISTRI KE CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5553,Normal/Others,WS/MP18231/2024-2025/165968,Lighting of public spaces,VIKAS KHAND THAKURDWARA KE GRAM PILAKPUR KHUMANI ME MAIN CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5554,Normal/Others,WS/MP18231/2024-2025/165967,Lighting of public spaces,VIKAS KHAND CHHAJLET KE GRAM AKBARPUR CHENDRY ME PRIMARY SCHOOL KE PASS TIRAHE PAR SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2026-01-09,173600.0
5555,Normal/Others,WS/MP18231/2024-2025/165966,Lighting of public spaces,VIKAS KHAND THAKURDWARA KE GRAM FARIDNAGAR ME TAUFEEQ KE CHAURAHE PASS SARVJNIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5556,Normal/Others,WS/MP18231/2024-2025/165117,Lighting of public spaces,VIKAS KHAND BHAGATPUR TANDA ME DAULPURI ME MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD,RUCHI VIRA,MORADABAD,True,2025-08-12,173600.0
5557,Normal/Others,WS/MP499/2025-2026/175641,"Construction of roads, link roads, pathways or any other road with or without drainage system","Barhra Football ground Near PWD road to Maha Sansyan Ghat , G.P Barhra, Khayrasol. Executive Agrency - Barhra G.P",West Bengal,BIRBHUM,DISTRICT MAGISTRATE BIRBHUM,Smt Satabdi Roy (Banerjee),BIRBHUM,True,2026-07-26,399608.0
5558,Normal/Others,WS/MP18211/2024-2025/150846,"Construction of roads, link roads, pathways or any other road with or without drainage system",Baitalpur me Somnath ke khet se Markandey Mall ke makaan ki or 114 mtr  CC Road ka nirmaan,Uttar Pradesh,DEORIA,DISTRICT MAGISTRATE DEORIA,SHASHANK MANI,DEORIA,True,2025-07-18,998988.0
5559,Normal/Others,WS/MP18107/2024-2025/163608,"Construction of roads, link roads, pathways or any other road with or without drainage system",Distt Rarlam Block Bajna Gram Panchayat Karbal Khora nirman kary CC Road RS 200000 Aproved,Madhya Pradesh,RATLAM,District Collector Ratlam,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),True,2025-11-24,200000.0
5560,Normal/Others,WS/MP18206/2025-2026/158505,Lighting of public spaces,Vikash khand Mahua ke gram panchayat Malehara Niwada me sc abadi ke paas Karan Yadav ke ghar ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5561,Normal/Others,WS/MP18206/2025-2026/158503,Lighting of public spaces,Vikash khand Banda ke Kanwara road Shakeel Bhai ke form house ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5562,Normal/Others,WS/MP18206/2025-2026/158504,Lighting of public spaces,Vikash khand Naraini ke gram panchayat Anathuva ka majra railway quarter me Madhusudan Kushwaha ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5563,Normal/Others,WS/MP18206/2025-2026/158513,Lighting of public spaces,Vikash khand Bisanda ke gram panchayat Tendura ke majra harijan basti school ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5564,Normal/Others,WS/MP18238/2024-2025/141066,Construction of rooms and halls in school and colleges,"Manager Principal,Jagarnath Dharmanath Sa J P Junior High School Pipra Lar Deoria, One room Construction",Uttar Pradesh,DEORIA,DISTRICT MAGISTRATE DEORIA,RAMASHANKAR RAJBHAR,SALEMPUR,False,2025-07-01,500000.0
5565,Normal/Others,WS/MP18338/2025-2026/152013,Street lights,PROVIDING OF STREET LIGHTS IN BAHUPETA VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-04-11,99855.0
5566,Normal/Others,WS/MP18338/2025-2026/152014,Street lights,PROVIDING OF STREET LIGHTS IN CHINNA KANDUKUR VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-04-11,99855.0
5567,Normal/Others,WS/MP18206/2025-2026/158516,Lighting of public spaces,Vikash khand Badokhar Khurd  ke gram panchayat Bharkhari me sc abadi ke paas Arun Khengar ke makan ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5568,Normal/Others,WS/MP18338/2025-2026/152017,Street lights,PROVIDING OF STREET LIGHTS IN MAHABUBPET VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-04-11,99855.0
5569,Normal/Others,WS/MP18206/2025-2026/158515,Lighting of public spaces,Vikash khand Mahua ke gram panchayat Bachhehi ke majra Chatsara me mandir ke paas Dr. Ramasare Yadav ke makan ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5570,Normal/Others,WS/MP18206/2025-2026/158517,Lighting of public spaces,Vikash khand Naraini ke gram panchayat Atarra Gramin ke Gayaprasad Kushwaha ji ke purava me sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5571,Normal/Others,WS/MP18206/2025-2026/158518,Lighting of public spaces,Vikash khand Badokhar Khurd  ke gram panchayat Palhari me sc abadi ke paas Mahendra Verma ke form house ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5572,Normal/Others,WS/MP18338/2025-2026/152016,Street lights,PROVIDING OF STREET LIGHTS IN TALLAGUDEM VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-04-11,99855.0
5573,Normal/Others,WS/MP18206/2025-2026/158519,Lighting of public spaces,Vikash khand Naraini ke gram panchayat Pithaurabad(Giravan) me sc abadi ke paas Kallu Yadav ke ghar ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5574,Normal/Others,WS/MP18206/2025-2026/158508,Lighting of public spaces,Vikash khand Mahua ke gram panchayat Madhavpur me sc abadi ke paas Bhura Pal ke ghar ke paas chaurahe me sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5575,Normal/Others,WS/MP18206/2025-2026/158509,Lighting of public spaces,Vikash khand Mahua ke gram panchayat Jarar ke majra Chhaniya Purawa me Vivek Yadav ke ghar ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5576,Normal/Others,WS/MP18206/2025-2026/158510,Lighting of public spaces,Vikash khand Mahua ke gram panchayat Bachhehi me sc abadi ke paas Hnuman ji ke mandir ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5577,Normal/Others,WS/MP18206/2025-2026/158511,Lighting of public spaces,Vikash khand Mahua ke gram panchayat Paigambarpur me sc abadi ke paas kherapati ke sthan ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5578,Normal/Others,WS/MP18338/2025-2026/152015,Street lights,PROVIDING OF STREET LIGHTS IN SADEVELLE VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-04-11,99855.0
5579,Normal/Others,WS/MP18338/2025-2026/152026,Street lights,PROVIDING OF STREET LIGHTS AT RALLAJANAGAM H/O JANGAMPALLY VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-04-11,99855.0
5580,Normal/Others,WS/MP18206/2025-2026/158524,Lighting of public spaces,Vikash khand Naraini ke gram panchayat Karatal me sc abadi ke paas Mathiya Dai ke paas sarwajanik sthan par high mast light sthapana karya,Uttar Pradesh,BANDA,DISTRICT MAGISTRATE BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,True,2025-12-12,232198.0
5581,Normal/Others,WS/MP829/2024-2025/157024,Street lights,Installation of Streetlight from Thakurranichak Malikpara to Akna Math under Singti GP,West Bengal,HOWRAH,DISTRICT MAGISTRATE HOWRAH,Smt Sajda Ahmed,ULUBERIA,False,2025-04-16,599415.0
