Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
31379,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/156703,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-08-14,MS LAXMI IRON TRADING CO,Payment Success,329040.0
31380,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/156705,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-08-14,MS LAXMI IRON TRADING CO,Payment Success,329559.0
31381,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/159730,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-08-14,MS LAXMI IRON TRADING CO,Payment Success,329875.0
31382,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/156700,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-11-21,MS LAXMI IRON TRADING CO,Payment Success,3861.0
31383,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18064/2024-2025/156702,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-11-19,MS LAXMI IRON TRADING CO,Payment Success,200000.0
31384,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/156700,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-11-19,MS LAXMI IRON TRADING CO,Payment Success,326138.0
31385,Construction of boundary walls of existing public and community buildings,WS/MP600/2024-2025/147920,Jammu And Kashmir,DODA,Deputy Commissioner Doda,Jitendra Singh,UDHAMPUR,2026-03-27,Asmatullah Khan,Payment Success,216500.0
31386,Construction of boundary walls of existing public and community buildings,WS/MP600/2024-2025/147920,Jammu And Kashmir,DODA,Deputy Commissioner Doda,Jitendra Singh,UDHAMPUR,2026-03-27,Asmatullah Khan,Payment Success,37500.0
31387,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18064/2024-2025/156706,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-08-14,THE FRIENDS GULIANA COOP L AND C SOC LTD,Payment Success,60916.0
31388,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/159722,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2026-04-15,THE FRIENDS GULIANA COOP L AND C SOC LTD,Payment Success,285854.0
31389,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/156692,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2026-02-17,THE FRIENDS GULIANA COOP L AND C SOC LTD,Payment Success,159799.0
31390,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/159724,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2025-12-08,THE FRIENDS GULIANA COOP L AND C SOC LTD,Payment Success,237547.0
31391,Construction of boundary walls of existing public and community buildings,WS/MP600/2024-2025/147994,Jammu And Kashmir,DODA,Deputy Commissioner Doda,Jitendra Singh,UDHAMPUR,2026-01-12,Ghulam Hussain,Payment Success,124000.0
